id,idade,renda_mensal,tempo_como_cliente,avaliacao_cliente,comprou_novamente,profissao_Analista,profissao_Autônomo,profissao_Engenheiro,profissao_Estudante,profissao_Gerente,profissao_Médico,profissao_Professor,canal_ultima_compra_Aplicativo,canal_ultima_compra_Loja Física,canal_ultima_compra_Online
1,23,0.060869565217391314,10,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,37,0.26086956521739135,36,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,29,0.5652173913043479,24,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,42,0.6608695652173914,60,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,35,0.32173913043478264,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6,31,0.16521739130434784,6,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,26,0.4521739130434783,15,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,56,0.9130434782608695,84,5,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,48,0.21739130434782614,50,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,20,0.0,3,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,34,0.20000000000000004,15,4,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,41,0.582608695652174,48,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,39,0.12173913043478266,30,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,24,0.043478260869565244,7,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,51,0.8695652173913043,96,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16,67,1.0000000000000002,120,4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,53,0.3913043478260869,80,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,25,0.017391304347826098,5,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19,44,0.22608695652173919,36,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,22,0.13043478260869565,6,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
